       1,	   8,	   1048576,	     0.903, GigaMultsPerSecond
       1,	  16,	   1048576,	     1.345, GigaMultsPerSecond
       1,	  32,	   1048576,	     1.862, GigaMultsPerSecond
       1,	  64,	   1048576,	     2.450, GigaMultsPerSecond
       1,	 128,	   1048576,	     2.752, GigaMultsPerSecond
       1,	 256,	   1048576,	     2.508, GigaMultsPerSecond
       1,	 512,	   1048576,	     3.108, GigaMultsPerSecond
       2,	   8,	   2097152,	     1.109, GigaMultsPerSecond
       2,	  16,	   2097152,	     1.749, GigaMultsPerSecond
       2,	  32,	   2097152,	     2.665, GigaMultsPerSecond
       2,	  64,	   2097152,	     3.387, GigaMultsPerSecond
       2,	 128,	   2097152,	     4.155, GigaMultsPerSecond
       2,	 256,	   2097152,	     4.005, GigaMultsPerSecond
       2,	 512,	   2097152,	     3.484, GigaMultsPerSecond
       4,	   8,	   4194304,	     1.195, GigaMultsPerSecond
       4,	  16,	   4194304,	     1.962, GigaMultsPerSecond
       4,	  32,	   4194304,	     3.013, GigaMultsPerSecond
       4,	  64,	   4194304,	     4.312, GigaMultsPerSecond
       4,	 128,	   4194304,	     5.732, GigaMultsPerSecond
       4,	 256,	   4194304,	     4.969, GigaMultsPerSecond
       4,	 512,	   4194304,	     4.906, GigaMultsPerSecond
       8,	   8,	   8388608,	     1.268, GigaMultsPerSecond
       8,	  16,	   8388608,	     2.125, GigaMultsPerSecond
       8,	  32,	   8388608,	     3.423, GigaMultsPerSecond
       8,	  64,	   8388608,	     5.544, GigaMultsPerSecond
       8,	 128,	   8388608,	     6.969, GigaMultsPerSecond
       8,	 256,	   8388608,	     6.770, GigaMultsPerSecond
       8,	 512,	   8388608,	     5.792, GigaMultsPerSecond
      16,	   8,	  16777216,	     1.291, GigaMultsPerSecond
      16,	  16,	  16777216,	     2.176, GigaMultsPerSecond
      16,	  32,	  16777216,	     3.674, GigaMultsPerSecond
      16,	  64,	  16777216,	     5.955, GigaMultsPerSecond
      16,	 128,	  16777216,	     8.568, GigaMultsPerSecond
      16,	 256,	  16777216,	     7.404, GigaMultsPerSecond
      16,	 512,	  16777216,	     6.285, GigaMultsPerSecond
      32,	   8,	  33554432,	     1.308, GigaMultsPerSecond
      32,	  16,	  33554432,	     2.233, GigaMultsPerSecond
      32,	  32,	  33554432,	     3.853, GigaMultsPerSecond
      32,	  64,	  33554432,	     6.351, GigaMultsPerSecond
      32,	 128,	  33554432,	     8.881, GigaMultsPerSecond
      32,	 256,	  33554432,	     8.147, GigaMultsPerSecond
      32,	 512,	  33554432,	     6.825, GigaMultsPerSecond
      64,	   8,	  67108864,	     1.311, GigaMultsPerSecond
      64,	  16,	  67108864,	     2.251, GigaMultsPerSecond
      64,	  32,	  67108864,	     3.917, GigaMultsPerSecond
      64,	  64,	  67108864,	     6.609, GigaMultsPerSecond
      64,	 128,	  67108864,	     9.538, GigaMultsPerSecond
      64,	 256,	  67108864,	     8.310, GigaMultsPerSecond
      64,	 512,	  67108864,	     7.698, GigaMultsPerSecond
     128,	   8,	 134217728,	     1.273, GigaMultsPerSecond
     128,	  16,	 134217728,	     2.397, GigaMultsPerSecond
     128,	  32,	 134217728,	     4.652, GigaMultsPerSecond
     128,	  64,	 134217728,	     7.806, GigaMultsPerSecond
     128,	 128,	 134217728,	    11.576, GigaMultsPerSecond
     128,	 256,	 134217728,	    10.099, GigaMultsPerSecond
     128,	 512,	 134217728,	     8.435, GigaMultsPerSecond
